keypoint_index,keypoint_name,uuid,color
275,l-top-point-of-tragus,b7a9679f-931a-4376-8f9b-4c6b7d4e3db2,"(200, 200, 0)"
276,l-start-point-of-crus-of-helix,c8e1998d-e15c-4795-9f0c-d7c6b2517db2,"(200, 200, 0)"
277,l-deepest-point-of-concha,8694f79e-1ac1-4b29-9303-7d5ee3d576be,"(200, 200, 0)"
278,l-tip-of-ear-lobe,56bbdcc7-cb41-4efb-9de6-8991338e3d06,"(200, 200, 0)"
279,l-midpoint-between-22-15,447d1560-280e-4845-a51d-20c515d25dbc,"(200, 200, 0)"
280,l-bottom-connecting-point-of-ear-lobe,fd768ef9-9d8a-42df-87d2-3188a6969fb2,"(200, 200, 0)"
281,l-top-connecting-point-of-helix,42075c56-d83b-476b-962b-d3d252bc1b86,"(200, 200, 0)"
282,l-point-8-of-inner-helix,a874f763-1660-47ad-81ee-3c8e75dfd9a5,"(200, 200, 0)"
283,r-top-end-of-inferior-crus,6a927920-f9ef-47b2-bd64-b766c3a0a1f2,"(0, 200, 200)"
284,r-top-end-of-superior-crus,fafe7da9-183b-4ed9-b88e-2837cefd0f8e,"(0, 200, 200)"
285,r-start-of-antihelix,7c77290c-00f0-450c-9ec6-f8d5277961bd,"(0, 200, 200)"
286,r-end-of-antihelix,f1f1ae41-7fe5-4c5b-81a5-2af07acd855b,"(0, 200, 200)"
287,r-midpoint-1-of-antihelix,b8af2a17-9a06-4438-ac50-a00d0d6f440c,"(0, 200, 200)"
288,r-midpoint-1-of-inferior-crus,ba89dc4f-0c24-46dd-9480-57df79f69581,"(0, 200, 200)"
289,r-midpoint-2-of-antihelix,057abf2f-9c88-4905-b5f3-091d29f03ac2,"(0, 200, 200)"
290,r-midpoint-3-of-antihelix,4de23397-52e7-4175-95b0-1328eeeab1c4,"(0, 200, 200)"
291,r-point-1-of-inner-helix,eaf2023b-efcd-4e8b-9678-b1ddef135059,"(0, 200, 200)"
292,r-point-8-of-inner-helix,2d71e5b6-1fa3-4f8e-9d67-e766b8018b4b,"(0, 200, 200)"
293,r-point-3-of-inner-helix,8ae57952-7760-4e65-800f-c34ecd5b2b04,"(0, 200, 200)"
294,r-point-4-of-inner-helix,f74b018a-220a-43d1-bc53-769727f81746,"(0, 200, 200)"
295,r-point-5-of-inner-helix,3fa6270a-e1e1-4b30-a818-02ddabd85053,"(0, 200, 200)"
296,r-point-6-of-inner-helix,c457c9ae-60de-48df-81f1-be23d19a8220,"(0, 200, 200)"
297,r-point-7-of-inner-helix,04c59441-4cb4-4e91-be16-36c6f6a4266b,"(0, 200, 200)"
298,r-highest-point-of-antitragus,8c15cff6-d343-42a0-838a-c0cf59f0f33f,"(0, 200, 200)"
299,r-bottom-point-of-tragus,bf824017-cccb-418b-9b26-8149d1801166,"(0, 200, 200)"
300,r-protruding-point-of-tragus,a3c783d6-2b3e-47f7-8cf6-28da2d1b0d94,"(0, 200, 200)"
301,r-top-point-of-tragus,05564140-db5c-4ea8-b88f-a13f825fda35,"(0, 200, 200)"
302,r-start-point-of-crus-of-helix,12cf262e-5750-44e2-8560-43a5e2413dcf,"(0, 200, 200)"
303,r-deepest-point-of-concha,69fc144a-3431-479b-8e8d-9e347f26c83d,"(0, 200, 200)"
304,r-tip-of-ear-lobe,c69f3c80-5f55-4f86-8c8e-eb28293421d1,"(0, 200, 200)"
305,r-midpoint-between-22-15,f1b4dfd8-9cc6-40bf-8444-7d1db582f2a8,"(0, 200, 200)"
306,r-bottom-connecting-point-of-ear-lobe,a64af486-9bfa-4c4a-8038-9aa6fc5bad42,"(0, 200, 200)"
307,r-top-connecting-point-of-helix,5e4f360c-6996-41ce-ac49-792fb816a58a,"(0, 200, 200)"
308,r-point-2-of-inner-helix,39ad2214-d157-4510-b9f4-e6ca3fb1645c,"(0, 200, 200)"
309,l-center-of-iris,7343f7c2-f77a-49a4-895f-30e916fe5235,"(128, 192, 64)"
310,l-border-of-iris-3,c1afd5e9-d22c-4b99-855b-1129bf9f1fb1,"(128, 192, 64)"
311,l-border-of-iris-midpoint-1,6f504b93-550c-400a-83eb-35a7a45ed14f,"(128, 192, 64)"
312,l-border-of-iris-12,6b5321b5-1056-4add-99ec-7e99d00d27a8,"(128, 192, 64)"
313,l-border-of-iris-midpoint-4,583a72ef-6aac-4ba1-9c7d-c680146edc3c,"(128, 192, 64)"
314,l-border-of-iris-9,ba872125-f181-4031-b66a-eb344bd807e6,"(128, 192, 64)"
315,l-border-of-iris-midpoint-3,40924f15-5203-4cb5-93b5-69f38c266798,"(128, 192, 64)"
316,l-border-of-iris-6,85d83566-d0a6-4c5c-8e43-5ca2b874749f,"(128, 192, 64)"
317,l-border-of-iris-midpoint-2,2cd4d8bc-216f-4665-8004-843e570a8616,"(128, 192, 64)"
318,r-center-of-iris,1642c702-3347-4cfd-b009-6fc4305cd685,"(192, 32, 64)"
319,r-border-of-iris-3,a4d53aa1-1a46-4a8b-ba8e-1d530838a3c5,"(192, 32, 64)"
320,r-border-of-iris-midpoint-1,fee3cbd2-e559-4faf-b33a-89421a368aca,"(192, 32, 64)"
321,r-border-of-iris-12,63702de3-4dd5-4fac-8b1c-a3e80825fe91,"(192, 32, 64)"
322,r-border-of-iris-midpoint-4,547c2d5b-e985-4cdc-994e-02356a3a7f72,"(192, 32, 64)"
323,r-border-of-iris-9,e2c3a2d2-881f-4f8c-998c-d651140dbfe4,"(192, 32, 64)"
324,r-border-of-iris-midpoint-3,55a83fb4-3068-488c-b4c2-3de96a825252,"(192, 32, 64)"
325,r-border-of-iris-6,211bc145-5ebb-454e-a955-4003c04f21eb,"(192, 32, 64)"
326,r-border-of-iris-midpoint-2,ec3454cd-7649-4091-846f-b3610a38b4e3,"(192, 32, 64)"
327,l-center-of-pupil,80763fe3-95bd-45ff-896a-387cc98c677a,"(192, 128, 64)"
328,l-border-of-pupil-3,9c0f8457-d6bf-45cb-8438-ca783e8703a7,"(192, 128, 64)"
329,l-border-of-pupil-midpoint-1,8367ef6e-6070-4034-9b45-dfff85c57a28,"(192, 128, 64)"
330,l-border-of-pupil-12,50fa9ba3-dcf0-4cff-a98a-7677f61e52f3,"(192, 128, 64)"
331,l-border-of-pupil-midpoint-4,64d005b1-000c-4213-a222-860d0f96c378,"(192, 128, 64)"
332,l-border-of-pupil-9,bb199968-3072-4587-bbbc-15b1752b7a63,"(192, 128, 64)"
333,l-border-of-pupil-midpoint-3,6d4af92d-887e-4db7-97be-6dbb22012803,"(192, 128, 64)"
334,l-border-of-pupil-6,834836da-1702-4610-aaa5-ab50fdd691b3,"(192, 128, 64)"
335,l-border-of-pupil-midpoint-2,08f70e43-3271-49a3-a8f1-ece9a8ad2914,"(192, 128, 64)"
336,r-center-of-pupil,d758ab67-6472-4967-81f9-6329568b8760,"(32, 192, 192)"
337,r-border-of-pupil-3,6288c3f8-9be1-44a2-8a8a-b0e1365f9c87,"(32, 192, 192)"
338,r-border-of-pupil-midpoint-1,324b2272-4d6b-4349-a128-b235fe9ae3b2,"(32, 192, 192)"
339,r-border-of-pupil-12,dd7ae80f-326a-407f-aa86-6b6882f5e120,"(32, 192, 192)"
340,r-border-of-pupil-midpoint-4,1bd0f68f-e16d-4dd6-9fef-09540bbee8ee,"(32, 192, 192)"
341,r-border-of-pupil-9,80a03200-5535-40b2-b377-5c75bf70540c,"(32, 192, 192)"
342,r-border-of-pupil-midpoint-3,de94ef88-9178-4b05-96a6-7978026f4e53,"(32, 192, 192)"
343,r-border-of-pupil-6,cf83857e-04a5-4b5a-a3d2-e75f37bc0e14,"(32, 192, 192)"
344,r-border-of-pupil-midpoint-2,d072eb4f-9ead-41fd-b1a4-8319933f2730,"(32, 192, 192)"
